score,percentile
1600,99+
1590,99+
1580,99+
1570,99+
1560,99+
1550,99+
1540,99
1530,99
1520,99
1510,99
1500,99
1490,98
1480,98
1470,98
1460,97
1450,97
1440,96
1430,96
1420,95
1410,95
1400,94
1390,94
1380,93
1370,92
1360,92
1350,91
1340,90
1330,89
1320,88
1310,88
1300,87
1290,86
1280,84
1270,83
1260,82
1250,81
1240,80
1230,79
1220,77
1210,76
1200,74
1190,73
1180,72
1170,70
1160,68
1150,67
1140,65
1130,63
1120,62
1110,60
1100,58
1090,56
1080,54
1070,52
1060,51
1050,49
1040,47
1030,45
1020,43
1010,41
1000,39
990,37
980,36
970,34
960,32
950,31
940,29
930,27
920,26
910,24
900,23
890,21
880,20
870,18
860,17
850,15
840,14
830,13
820,12
810,11
800,10
790,9
780,8
770,7
760,6
750,5
740,4
730,4
720,3
710,3
700,2
690,2
680,1
670,1
660,1
650,1
640,1
630,1-
620,1-
610,1-
600,1-
590,1-
580,1-
570,1-
560,1-
550,1-
540,1-
530,1-
520,1-
510,1-
500,1-
490,1-
480,1-
470,1-
460,1-
450,1-
440,1-
430,1-
420,1-
410,1-
400,1-