correct_ans,reading_raw_score,writing_raw_score
52,40,
51,39,
50,38,
49,37,
48,36,
47,35,
46,35,
45,34,
44,33,40
43,33,39
42,32,38
41,31,37
40,31,36
39,30,35
38,30,34
37,29,33
36,29,33
35,29,32
34,28,31
33,28,31
32,27,30
31,27,29
30,26,29
29,26,28
28,25,27
27,25,27
26,24,26
25,24,25
24,23,25
23,23,24
22,22,24
21,22,23
20,21,22
19,21,22
18,20,21
17,20,21
16,19,20
15,19,19
14,18,19
13,18,18
12,17,17
11,17,17
10,16,16
9,15,15
8,15,14
7,14,14
6,13,13
5,12,12
4,11,11
3,10,10
2,10,10
1,10,10
0,10,10